,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
20,Progenitus,Conflux,14.8,14.9120251336126,18.3038717952434,18.0993957758527,18.0,20.2796003288925,17.6490099858569,15.2400232003093,13.7626288835521,13.8791244472825,12.4962644245319,11.4031297555037,12.0074814193341,12.133324731044,12.7450377931333,13.0934268871959,12.3633600302705,13.3708331688575,13.4932701275974,14.5888867954608,13.0268718637105,14.7247471623419,15.4699592148866,15.3541691338044,13.1695290047658,10.6022407447499,10.2727185948835,9.15219288324861
21,Sword of Feast and Famine,Mirrodin Besieged,35.0,32.709274547495,25.4688386788214,17.0403757876601,13.0374240459665,13.9481522016911,18.5908741553451,22.7034807130762,24.8486037773013,26.9957728406366,33.1131179357623,26.2203329033754,17.675429452792,15.6515871223729,20.1989400805413,18.0901307911946,17.0375363742016,17.2519796313109,18.2684280618083,17.9910411745098,18.2905251398661,21.4238904524789,23.4852987313477,23.9388077474704,25.9529941711187,31.0944803554676,33.286300660012,39.0674531839665
22,Quicksilver Gargantuan,Scars of Mirrodin,0.5,0.63518483538706,0.745895592689749,0.779316015855613,0.701977559131857,0.880000888898765,0.807142244889213,0.856000080001067,0.978282790021137,1.0789123965349,1.16885945867709,0.978984478035913,1.0320621361198,1.0,1.0,1.0,1.0,0.510963960052106,0.708973163203492,0.865458919694488,0.704354994189137,0.612715079536902,0.657190337065433,0.463377807602732,0.617716826277714,0.8,0.859395625375007,0.7
23,Batterskull,New Phyrexia,16.0,17.4372193024367,14.3417846635458,8.46365438137809,7.72513580623565,12.1857409526773,13.7728560408006,14.232002426699,14.8741168493701,23.6024199086736,25.8570211450151,21.5966282120031,18.807348367359,18.5188228842401,18.1578068270885,17.0374952302004,19.9061590644961,18.3502085553757,19.9477567091991,18.9874302526124,16.0454914008234,17.3314451695378,18.7650591188063,22.1015289674864,20.0381476409697,17.7092722605388,17.3478772341315,18.8257800688103
24,Sarkhan Vol,Shards of Alara,15.0,16.714819053545,14.7874389483906,14.8724809937469,16.2951952982652,20.3499905554506,21.7188624123202,15.6948912652169,18.3954461776226,16.3319473728599,14.5863991631469,11.8978159103755,12.4206222086628,12.4588743366829,12.5234222830836,12.6850892774905,12.1614136163389,11.6405636916275,12.0634635909961,11.3685915737909,11.383630032703,10.9180393612305,11.1160169807251,11.779599073672,10.8352913089307,10.0457004711389,11.0424134984272,10.6640977868784
25,Sword of Body and Mind,Scars of Mirrodin,14.0,13.3518539094879,9.29492311482775,8.3857468162267,7.66694929618048,9.28147923865821,8.03927913255904,8.37377765036867,8.34570792202971,8.88494018000217,9.63070171975947,10.5413085696894,10.2418101000856,9.69274181841643,11.2495490950369,12.0260963960052,12.0,12.0576751009882,13.006889489322,13.0712539312164,12.7352832007496,12.5422720852792,13.3986891899841,11.642975565468,12.0915864106884,13.5730187940082,11.9884579719631,13.2196460672151
26,"Ulamog, the Infinite Gyre",Rise of the Eldrazi,11.4655493482309,13.0383093145479,18.4022000318845,18.3062247737925,22.3915181484589,31.9525911399016,30.2647559250846,28.5971072947639,31.2227164599732,41.9243352329546,43.1699331570152,45.0859099407238,45.8922486631243,39.1075178631913,36.8316561410463,30.818267345623,21.6309277561059,21.8758766562718,20.5169953557246,18.8770431455528,18.6171123163272,18.9247399457726,19.6977195631287,19.4331109619863,22.3468229443509,26.5063510964031,20.9999636357025,28.5410403695282
27,Sphinx of the Steel Wind,Alara Reborn,7.57597765363128,7.99536494849943,7.52075972115538,6.48112145929469,6.13403927151925,5.94259436215958,4.52808682981185,4.40533273776984,4.52904075030871,4.60963686309474,4.0250003289517,2.41764228467079,2.92274553174179,2.00215003467798,2.10991044964369,2.0,1.77477499797295,1.88662548191424,1.9,1.76859809562457,1.68723547058982,1.7689007103166,1.51503460852174,1.28289516967329,1.35285272840296,1.61718162042908,1.72545591738032,1.20674531839665
28,"Jin-Gitaxias, Core Augur",New Phyrexia,11.0,8.14797719974666,4.6294714416151,3.42690815551995,3.35013305197502,4.72203468927432,5.2769003842912,5.54955266070214,6.22196039363935,7.67529367823709,8.34122488453795,8.1789852026841,8.48912278917618,9.35752592783755,9.8201204515356,9.53245503230306,9.61215731673258,12.6855077040487,14.3878205559669,13.117398078233,13.4204204542383,14.4907267085228,17.2290642953783,18.2300464479796,15.8936949882431,10.0926092021567,7.74693630793287,9.45278277122347
29,Wurmcoil Engine,Scars of Mirrodin,18.0,19.3296258847321,14.0053058739982,9.1156652489789,9.57952016542513,11.8357448416094,13.3097729967571,14.6873431645755,19.880527882787,30.3156694658972,25.8962736351794,25.9789960724068,17.6341786794803,14.8354892820852,14.7187497184659,18.6912492269635,22.0801840557122,22.8679870787774,21.1899176915163,17.1441948434035,16.2648658996928,15.4888333900349,14.5055491284143,15.9385985341912,17.8044955359958,23.9793503025804,28.4100465463008,23.791079060465
