,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
29,Savaen Elves,The Dark,0.1,0.1,0.152656560240003,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.110810457751872,0.1,0.152243290800873,0.2,0.2,0.200171651254137,0.21470715112061,0.2,0.2,0.272164146022124,0.4,0.36170728222955
30,Chub Toad,Ice Age,0.1,0.1,0.171738720851027,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.18633681384517,0.1,0.1,0.1,0.196396363931207,0.2,0.2,0.189253148067738,0.169819998378364,0.1,0.1,0.219643090989178
31,Sanctum Plowbeast,Alara Reborn,0.1,0.174814720163557,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.110360003243272,0.1,0.194070616063616,0.2,0.275525455184281,0.3,0.3,0.301316464690325,0.339339543599492,0.2,0.2,0.3
32,Rest for the Weary,Worldwake,0.1,0.1,0.290821606110233,0.20983927517199,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.347447724754277,0.3,0.477177722321823,0.519956841537389,0.567948730276253,0.550483340338266,0.441892719754232,0.374570356395427,0.4,0.37236805747444,0.403002729754322,0.371649192259714,0.420608556519209,0.2
33,Descendant of Soramaro,Saviors of Kamigawa,0.1,0.1,0.1,0.1,0.1,0.1,0.228572551036443,0.245999946665956,0.199621209251585,0.2,0.2,0.215458919694488,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.203264466643986,0.297712700249024,0.160965275858893,0.1,0.1,0.163332969690358,0.3
34,Uproot,Betrayers of Kamigawa,0.1,0.16148123868043,0.2,0.2,0.2,0.2,0.2,0.219334257790104,0.158081121826681,0.167268882757624,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.276876818710078,0.4,0.4,0.167763391623574,0.293394084631393,0.1,0.1,0.23531708710818
35,Panther Warriors,Visions,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.110810457751872,0.1,0.152243290800873,0.2,0.2,0.211167640903514,0.273856350124512,0.19078935249148,0.2,0.252920648666481,0.3,0.3
36,Machinate,Darksteel,0.258617835712808,0.235185390948788,0.412318294468036,0.6,0.6,0.6,0.10595222788897,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.157958179803422,0.154123753853133,0.216993470460205,0.17127264832432,0.1,0.1,0.1,0.23531708710818
37,Court Homunculus,Conflux,0.1,0.1,0.195410803055117,0.262449547584911,0.3,0.253888932099246,0.194285632651895,0.2,0.249368555822393,0.256425378619019,0.199342096606534,0.213284975144567,0.263841642725786,0.198387070759206,0.214564545626537,0.2,0.2,0.107894182818195,0.240384522928105,0.198550703633386,0.190540905773926,0.215979030711657,0.332352595148924,0.214254792826221,0.2,0.2,0.2,0.3
38,Martyr of Frost,Coldsnap,0.258617835712808,0.3,0.3,0.3,0.3,0.3,0.10595222788897,0.1,0.1,0.178715406209713,0.1,0.138164321222047,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.193693636879612,0.188659161434654,0.215032647698975,0.152631613573863,0.1,0.20670110001134,0.2,0.1
