,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
47,Mana Vapors,Prophecy,0.131036623215394,0.16759241769353,0.408696502847867,0.4,0.4,0.348518872431916,0.34404777211103,0.454222056294084,0.321717209978863,0.361245316208629,0.401315806786931,0.283092508587081,0.322315867083619,0.40913966354296,0.41861863620393,0.4,0.4,0.4,0.4,0.4,0.430029549815764,0.331786925638409,0.390522363183592,0.3,0.429730898476563,0.30670110001134,0.3,0.246627340801676
48,Sterling Grove,Invasion,5.0,5.0,5.09541080305512,5.31626525620791,5.5,5.5,4.89999785711224,5.06533553780717,5.53800331820696,5.35200544584874,6.31469361438966,5.33432078725779,5.74675802337308,5.98063355860578,5.91246002216236,5.17806944828221,5.26186226902945,5.7820175265464,5.3076904585621,5.84782605545008,5.43843773367328,5.94776028618852,7.92680738838016,8.24648350636193,8.63738772421373,7.54690924648708,7.40272641320751,15.7259747139847
49,Azorius Ploy,Dissension,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.199275351816693,0.2,0.2,0.2,0.253069777233911,0.3,0.3,0.3,0.3,0.3,0.3,0.304248122512206,0.3,0.3,0.3,0.356969217622139,0.4
50,Landbind Ritual,Zendikar,0.2,0.116851853909488,0.224396730387397,0.219477343100519,0.181779930338393,0.1,0.199285704081487,0.2,0.235606330350988,0.193775828624441,0.211402781615548,0.121256105160944,0.1,0.1,0.195796358525753,0.1,0.1,0.295614415979158,0.205929383936384,0.2,0.2,0.2,0.2,0.491665021908183,0.554204091928756,0.6,0.448183603338242,0.3
51,Tromp the Domains,Time Spiral,0.1,0.198888320981344,0.3,0.3,0.3,0.3,0.3,0.3,0.198484837006341,0.2,0.2,0.2,0.2,0.2,0.2,0.253069777233911,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
52,Mind Funeral,Alara Reborn,4.0,5.52221691352126,5.04249626806186,5.126703936192,6.05536868956517,6.33722652473916,6.00976513950199,4.02399898665315,4.10997772710399,3.64658610344703,3.66030803036882,3.5082131625096,3.32627310400936,3.39865481701318,3.35165046531951,3.7131593836761,4.0770245677889,4.75175660206055,4.61810978951721,4.55676241684662,4.08919224497518,3.78711378467819,3.84313613992431,4.34341767654838,4.2782295335994,4.68333127145641,4.82272859506536,3.62796878534268
53,Sleeper's Robe,Invasion,0.3,0.23240758230647,0.390581022913376,0.502812082073278,0.471045093602488,0.397037744863832,0.442142744896356,0.441555220736276,0.435732088879461,0.41224834034145,0.5,0.357004449339846,0.305225891744845,0.3,0.404805448697736,0.3,0.3,0.3,0.404486581601746,0.355797185466456,0.38048090523338,0.3,0.3,0.3,0.3,0.3,0.3,0.246627340801676
54,Treva's Attendant,Invasion,0.2,0.2,0.380678705488485,0.2,0.275282417647607,0.3,0.3,0.3,0.3,0.3,0.3,0.199275351816693,0.282909600928821,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.23529382929077,0.2,0.2,0.2,0.2,0.2
55,Noxious Ghoul,Legions,0.8,0.95370281892021,1.03357439962898,1.20281328690707,1.0,1.26240791564351,1.12547679252561,0.90688875851678,0.815530420685005,0.864257400691575,0.780043158462611,0.843236858505196,0.801836456241155,0.7,0.625825908341517,0.6,0.792492725159686,0.702850695403887,0.86394148020654,0.910386382411339,0.572073622284885,0.570443509726904,0.892490048824487,1.12653521756865,1.42717727186731,1.14536232332292,0.847576319569447,1.50674650888701
56,Ivory Crane Netsuke,Saviors of Kamigawa,0.110345541071798,0.1,0.290821606110233,0.3,0.3,0.219074100823342,0.2,0.2,0.2,0.2,0.2,0.141546254293541,0.200847464809024,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.29024045261669,0.357215538304519,0.420910380188731,0.2
57,Qumulox,Fifth Dawn,0.2,0.26759241769353,0.381642487572284,0.34497885516693,0.332627818879821,0.427036967077412,0.5,0.456222082961106,0.307196266638384,0.364658610344703,0.268860116580481,0.278261279148973,0.2,0.2,0.260210001891909,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.314714997432409,0.287457087186466,0.3,0.3
58,Lightning Greaves,Mirrodin,4.5,4.5,3.44878621429296,3.16545982481717,3.51708955160637,3.53722208024534,3.67881041157731,4.14422392298564,5.23497564375488,6.48333413655586,6.84780720798958,6.21496978217076,6.59858473376893,7.0,6.99113640663429,8.0,7.96066090685502,6.25438492611745,5.50736785930634,5.64275206887056,5.1522576779971,4.58796997907195,4.70883350653934,3.9024164791642,4.85179641258029,4.89261229497211,4.5,5.03908796533292
59,Centaur Archer,Ice Age,0.2,0.2,0.296860099421731,0.283333534138966,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
60,Blind Fury,Mirage,0.2,0.2,0.295410803055117,0.113654381378089,0.1,0.1,0.189761996599951,0.2,0.292676838460897,0.3,0.3,0.3,0.197457605572929,0.2,0.2,0.291886077448387,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
61,Serra's Boon,Planar Chaos,0.2,0.2,0.295410803055117,0.439358305521753,0.3,0.219074100823342,0.2,0.149555994079921,0.180177122553959,0.201807250689767,0.154825063487677,0.1,0.1,0.1,0.1,0.202631613573863,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.372372724078595,0.251889710203198,0.3,0.3
62,Captive Flame,Saviors of Kamigawa,0.2,0.125185279836443,0.290821606110233,0.201405438619742,0.2,0.2,0.124523921770311,0.1,0.20871218721354,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.223202415733642,0.2,0.2,0.2,0.2,0.1
63,Mire Shade,Mirage,0.2,0.2,0.295410803055117,0.113654381378089,0.1,0.213332925921399,0.3,0.3,0.24520185758983,0.3,0.3,0.3,0.3,0.199193535379603,0.20195181938576,0.29451769102225,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
64,Unlikely Alliance,Alliances,0.2,0.26148123868043,0.3,0.3,0.3,0.3,0.3,0.3,0.272727823695634,0.2,0.2,0.2,0.2,0.2,0.142492725159686,0.1,0.200450454508599,0.2,0.2,0.2,0.2,0.2,0.2,0.249121698969723,0.2,0.2,0.2,0.2
65,Orcish Captain,Fallen Empires,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.3,0.243686694596171,0.3,0.3,0.3,0.3,0.3,0.197747727457004,0.2,0.296696817088442,0.3,0.3,0.3,0.3,0.3,0.3,0.572807536941276,0.281681816953306,0.259621748677821,0.3,0.3
66,Lightning Storm,Coldsnap,0.3,0.139259325103612,0.38623240916535,0.377509969999639,0.398446173272655,0.390740452671696,0.294999928570408,0.3,0.314394806021258,0.560042289666141,0.833992552533586,0.934538906360962,1.0357346248697,1.0,0.799550446400418,1.6831155673101,1.77327273218678,2.25745536125475,3.18910374138213,3.0,1.55195767529437,1.10618459984124,1.53039765485598,1.43201686864301,2.07777862863629,1.29742574665718,0.8,0.822616935915904
67,Akroma's Blessing,Onslaught,0.3,0.102592251025011,0.557971130016377,0.457027795515609,0.346044881736286,0.451481127568084,0.344287061243732,0.285777810370805,0.3,0.3,0.3,0.199275351816693,0.282909600928821,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.375816192474362,0.3,0.3,0.35910627944618,0.463332969690358,0.343651710139406
