cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
Dichotomancy,Planar Chaos,0.5,0.43851876131957,0.4,0.415059819997831,0.5,0.376666962966255,0.47761896598522796,0.4162222162962171,0.47083349116281203,0.4,0.4,0.30338338236785994,0.39081941372384493,0.4,0.339038189533239,0.40350859879735296,0.4,0.4,0.4,0.4,0.4,0.303779935875628,0.3,0.416666008763273,0.37567590699015296,0.41787028732255,0.3,0.2
Vindicate,Apocalypse,38.4,33.3137357081745,31.969550283337398,29.3395462595935,27.0974520970517,27.688890987677603,27.039257703681503,28.4804370724943,26.3301824256244,26.095357172978,26.716223239779502,22.4212437861418,22.5995855897084,22.379054500879,18.971460553698698,20.0,17.5938409355039,15.720394347293999,14.6572106462562,13.6782938883172,9.36891953981567,8.043469520304331,7.589898821545519,7.50197239437361,8.07341777853855,9.0,7.890907107401951,6.0059488803438095
Surgical Extraction,New Phyrexia,7.0,8.34870887454305,6.733817156770389,4.67429607585634,3.91157764048848,3.79870109667885,3.5645230646152095,3.5368898251976697,4.98774649807953,6.63092025205123,7.7322366083764305,6.4091653502224695,7.10410045847846,6.54569347892708,6.12402409030712,4.55284543217674,4.92657141055325,6.87325030592508,7.986378234406099,7.885505587037491,8.68420210992892,16.095336034392098,22.5408586442871,21.4131495151252,18.770126307444198,21.3687141104547,20.823039509809302,23.177951523232398
Staff of Domination,Fifth Dawn,8.0,7.10556339514883,7.21932781634516,5.901797612019419,6.13997194891482,6.987558195091059,11.22405320076,10.6033220442939,11.861993651467099,11.973700285545599,13.6184305056645,13.268587225901802,13.034170628564599,14.418283359409001,15.422065964558199,16.3140350530928,16.3566081676411,18.4039441308438,19.463780901739398,19.578272873519897,18.1876760150992,21.719414633140502,20.003930469224898,22.8651765154805,22.5154537428265,28.5202620645574,28.466681212385698,31.0198216645436
Oracle of Mul Daya,Zendikar,2.0,2.0,2.17004884128756,2.3566235737779997,3.75875770133645,7.003900043333809,6.329289704138629,5.97555100734676,6.62233198736354,11.0134555838022,12.740565665337698,12.4425049638401,13.014834024017198,12.4293028919821,13.7505968522239,14.6850892774905,14.762006864926699,20.722165423229303,23.7259613073203,23.3094276728648,21.0525522752457,18.3149424220868,19.3510166866017,21.6585415597574,20.7109591077397,25.255097990700897,32.670332187858,33.0779515232324
Black Market,Mercadian Masques,5.94827229464101,5.45926065845176,6.10459064624125,6.01104350654827,6.37005610217036,6.5,6.384051200731441,6.38822517633568,6.89658898931052,8.76283629923252,10.5285016908117,12.425366309656699,13.002682649853,13.3564444587816,13.4807705474824,13.9133764917959,11.660652348219399,10.3168956170476,7.26362753488014,6.840102030464211,6.08649627474121,4.39294631903422,5.03723700464715,6.270828563533731,6.284088595392751,3.9573907978432796,4.33999345442644,5.031152751818469
Sawback Manticore,Mirage,0.4,0.3674068600762229,0.5,0.5,0.5,0.5,0.424523921770311,0.350889345191269,0.45959590602959105,0.40983927517199004,0.4,0.4,0.4,0.4,0.34249272515968604,0.48903538204450103,0.403753637420157,0.4,0.4,0.4,0.377177722321823,0.4,0.31895429322143604,0.572147001934236,0.5145645456265371,0.5,0.5,0.470833581352159
"Chainer, Dementia Master",Torment,0.5310366232153939,0.7637034855942841,0.674396730387397,0.690161327244907,0.7241523233247741,0.8622212469027429,0.7566665238074829,0.814000186669156,0.858206122773657,0.86144652345209,0.90548230897775,0.771013348019537,0.832768074305715,0.779838384490072,0.984837250786043,1.18969394334136,1.4057059072604299,1.4,1.61105827940653,1.53043667299526,1.6891827854305,1.8714698089671,1.5875801486303702,2.05723496361794,2.20780952981558,2.26769812059918,2.60515282096038,2.99027905094108
Sunscour,Coldsnap,1.1224084419615101,0.9296303292258801,0.9427542428151129,0.747791539657104,0.7128534987584642,0.844444938277092,0.749762853755054,0.582222429632395,0.8386362775475571,0.9,0.9,0.7470992333222221,0.8734476563360709,0.8811819545476541,0.688437733673276,0.7,0.7,0.7,0.81009625092549,0.8,0.95510635230948,0.977148733492098,0.7346379340771391,0.8881564231108299,1.08333363363634,0.64828245652017,0.4,0.8466273408016759
Knight-Captain of Eos,Shards of Alara,0.5,0.5,0.680676531543935,0.7,0.7701976287934642,0.6861109567884089,0.708809411563022,0.866222216296217,0.762247441268494,0.714658610344703,0.7,0.524638762880622,0.697599979660845,0.836828819819675,0.951054514004631,0.546272319372623,0.813363183452103,0.9035079408939591,1.28718064596775,1.3294699923187299,1.3076554743736397,1.41425787894721,1.59967548383302,1.8451742786089298,1.31006135190407,1.3243956123259,1.7490881652393702,1.2914635888522499
Cho-Arrim Bruiser,Mercadian Masques,0.5,0.43351870576339707,0.671014797315903,0.697791539657104,0.540113051805524,0.5,0.42809540136287705,0.38577781037080494,0.4,0.4,0.4,0.331641038275917,0.323163755625048,0.22043016822852002,0.30270272705159496,0.3,0.3,0.3,0.3,0.3,0.3,0.32353941793214397,0.3,0.693860445532178,0.7,0.7,0.7,0.7
Kessig Wolf Run,Innistrad,2.0,2.0,1.4942035391817299,1.6572265930914798,1.86666624293426,2.57777864198491,2.20476006800097,1.32355498073308,0.9886358987568091,1.51545922240027,1.1780681324754299,1.5958955926897498,1.2507042432563,1.42768834981209,1.38468409625312,1.5,1.8105100045946398,2.22719048934854,2.93621861748671,2.7584508471137297,2.5351368030342596,1.99776595635007,2.567327790741,2.4030704351373,2.4750722979486297,3.5859081021453796,3.47090947108129,3.83372659198324
Brooding Saurian,Coldsnap,1.5,1.5,0.7700481166393721,0.504417523102688,0.5,0.688519316881299,0.6078565408077261,0.6,0.744823066841415,0.522288822756901,0.5,0.32463876288062105,0.2,0.400537105437185,0.41171181722357897,0.4,0.49624636257984295,0.5,0.5,0.5,0.5,0.39793812307343396,0.4,0.427193120962118,0.408258182506149,0.4,0.4,0.3
Blazing Specter,Invasion,1.7,1.99351881687574,1.7591776692415801,1.36144652345209,1.3786722768836999,1.40851842798253,1.18262189459849,0.8,1.35605913681164,1.2369498427691898,1.20921130541191,0.7429998985492541,0.652260188645666,0.5,0.82822367769079,0.792760431058303,1.33483409760448,1.2771944367688999,0.8177881518091519,1.09154842823809,1.06186316993847,1.1683826637388,0.720259220769035,0.7028500375004929,1.2635127343489598,0.975257476881205,0.937576137747959,0.5361111441802879
Distorting Lens,Mercadian Masques,0.5,0.5,0.9751221032188871,0.82791057723587,1.0,0.9466677407526751,0.7854755067929541,0.816888891851891,0.632449488253699,0.548996373450283,0.5,0.32463876288062105,0.2,0.2,0.3563068135748971,0.3,0.40420364147424803,0.5,0.5,0.56062769025638,0.502252272542996,0.39707832039505603,0.396078354477539,0.591886735351781,0.590840007567636,0.9182125588923601,1.0,0.612103715520423
Mirri's Guile,Tempest,8.10345541071798,10.2925965844065,10.5995072392354,10.6811238689623,12.355935219789998,13.498516094623302,12.878573979628301,12.891548553980698,14.7125057765589,14.3463945348739,14.4695042040027,14.618624182959199,16.2830612971296,15.7019185793319,16.1550959918558,16.4554842826879,16.679278642149903,18.1103172410163,17.1898970182406,18.378990275221398,18.0913003720754,18.480258043897397,22.0767907213867,21.2798411821208,22.3665037522861,27.614251177847198,28.8424334987909,27.9878819985952
