cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
Sphinx of the Steel Wind,Alara Reborn,7.575977653631281,7.99536494849943,7.52075972115538,6.48112145929469,6.134039271519249,5.94259436215958,4.5280868298118495,4.4053327377698395,4.52904075030871,4.609636863094741,4.0250003289517,2.4176422846707903,2.92274553174179,2.00215003467798,2.10991044964369,2.0,1.7747749979729501,1.88662548191424,1.9,1.76859809562457,1.68723547058982,1.7689007103166001,1.51503460852174,1.2828951696732902,1.35285272840296,1.61718162042908,1.7254559173803201,1.20674531839665
"Jin-Gitaxias, Core Augur",New Phyrexia,11.0,8.14797719974666,4.6294714416151,3.4269081555199503,3.3501330519750203,4.722034689274321,5.2769003842912,5.5495526607021395,6.22196039363935,7.67529367823709,8.34122488453795,8.1789852026841,8.489122789176179,9.35752592783755,9.8201204515356,9.53245503230306,9.612157316732581,12.6855077040487,14.387820555966899,13.117398078232998,13.4204204542383,14.490726708522802,17.2290642953783,18.2300464479796,15.8936949882431,10.092609202156698,7.74693630793287,9.452782771223472
Wurmcoil Engine,Scars of Mirrodin,18.0,19.3296258847321,14.005305873998198,9.115665248978901,9.579520165425132,11.835744841609399,13.309772996757099,14.6873431645755,19.880527882787,30.315669465897198,25.8962736351794,25.9789960724068,17.6341786794803,14.835489282085199,14.7187497184659,18.6912492269635,22.0801840557122,22.8679870787774,21.189917691516303,17.1441948434035,16.2648658996928,15.4888333900349,14.505549128414302,15.938598534191199,17.8044955359958,23.9793503025804,28.4100465463008,23.791079060465
Vengevine,Rise of the Eldrazi,8.20691082143596,11.1714696829965,10.6403230481601,8.85462114001373,16.089698641513902,17.5213141257125,14.797154959356599,12.6835491139882,15.737356343608699,21.3670797238521,20.4039421571336,18.8995362251627,16.3669590420258,20.118572880207697,19.5517928089442,21.0,21.962463625798396,18.4789405123752,21.3979134414754,21.9589196944883,20.159926666006,11.442267961525399,9.99608619776858,21.034620192370998,23.8288520617303,19.592432396210302,21.0739531627848,32.1094382075977
"Venser, the Sojourner",Scars of Mirrodin,10.0,10.6759241769353,7.176802562355981,5.64176676827432,4.31398316934889,4.5253675040833805,5.56333233331905,4.95155402072028,5.27840362426988,6.89638489620357,6.771040408426431,8.713995130364209,8.69999406774634,8.87526814948628,9.162160469914141,10.119298938143901,9.060059099631529,9.94101303964526,11.398078346907198,11.535266453137,11.735868341156198,14.631619398138099,14.6849712739465,12.9111790944618,12.461860467211402,11.4936416870277,8.810861106565572,14.059122132406301
Mindslaver,Scars of Mirrodin,1.5,1.36481516461294,1.14203031927999,1.3755015120664098,1.5,1.67740697118857,1.7011907312961598,1.6102221362951499,1.96780354396624,2.519480355185,2.4243404518480496,2.5463818316207503,2.95183306638192,4.409143695866059,5.37282182722367,5.83881695811787,5.7,5.507018513401491,5.69679516149194,5.45700444933984,5.005104100036941,4.35567273889422,3.7555471675915197,3.95592178844458,3.6265741132803,3.6431246713883705,3.90363642975327,4.60058988797486
Liege of the Tangle,Scars of Mirrodin,1.5,1.5,1.1577298221713401,1.52068458656128,1.5,1.89851831687019,2.13119258846555,1.9584447792637198,2.55025682012743,2.46325256930806,2.2916676535217597,1.4644878911288601,1.9960453054686897,2.1677438345779803,2.45285453022099,2.55219344991382,3.6112672186235897,4.79517954183608,4.47468196809585,3.60990376672126,3.41651726592131,3.03934370457427,2.6274534794799904,3.1337688653798104,3.5,3.14845513871277,2.50938562519319,3.15337265919832
Defiler of Souls,Alara Reborn,1.24829298572315,1.75129556995078,1.8971028565631398,1.7506036217303798,1.72019762879346,2.87555083945377,2.77047457820826,2.7386698489313197,3.2108610671293,3.6216858034434103,3.3721463440308397,3.5973398165190797,3.45876024373088,2.77930127905289,2.85300227929981,2.61951670416716,2.70435409328012,2.64956315214674,2.73910374138213,2.88502442064378,2.7327340786853904,2.31442746832442,2.73073197513677,2.19407821155542,2.29309273056514,2.7410643408694906,2.55091274386807,2.00674531839665
Malfegor,Conflux,1.1,1.23074034155935,1.47512065392252,1.4600398799985501,1.5,1.36889076545295,1.25476149659281,1.22222162962173,1.3861108796278798,1.41345317413463,1.82719246305872,1.49541007840693,1.4,1.5661276794786998,1.62072000648655,1.50701719759471,1.78483544896801,1.8771944367689,1.7995187453725503,1.9,1.7684695357615803,1.42027752863432,1.49835879134885,1.58267608784326,1.2816813664988,1.16271404859844,1.23757613774796,1.30476196145192
Lighthouse Chronologist,Rise of the Eldrazi,3.8,3.68666262958477,4.49903984115712,5.4264900781937095,7.030646446156321,7.80371170790787,8.05000357147959,8.051110681475759,8.26968916431185,9.97168038169135,10.524129264858699,7.99901085522979,10.4819350163984,9.11478814174422,9.75840593158497,9.97850826984566,10.2936927359706,10.6111836997855,10.3370200675006,10.4657002275395,10.3908255930234,12.0644336539552,13.4983676150513,12.540791326201699,13.2522491193614,14.0771487334921,12.5987708867434,13.016867462707902
